work_ref,is_open,days_open,p_complete_horizon,hazard,hazard_pct,rs_exposure
MP3019228-W89711,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89712,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89713,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89714,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89715,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89716,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89717,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89718,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89719,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89720,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89721,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89722,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89723,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89724,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89725,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89726,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89727,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89728,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89729,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89730,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89731,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89732,False,759.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89733,False,761.0,,2.222774602916927,0.8997379144108814,0.0
MP3019228-W89734,False,761.0,,2.222774602916927,0.8997379144108814,0.0
MP3018350-W89736,False,715.0,,3.7766768933089194,0.9872018059036214,0.0
MP3017482-W89737,False,160.0,,0.981766827876638,0.4670527805941882,0.0
MP3017482-W89738,False,161.0,,0.9817680099083423,0.46705756317793123,0.0
MP3017482-W89739,True,851.0,0.5374620551161277,1.175866396412648,0.5944153769632506,92507.58897677447
MP3017482-W89740,True,851.0,0.4212964639712964,0.8341575347574302,0.37691064220534504,141782.3663270324
MP3017482-W89741,True,851.0,0.42155275278024806,0.8348330859479252,0.3771306410575249,115689.44944395039
MP3017482-W89742,True,851.0,0.4747379748194591,0.981925861744221,0.46746647408796127,128689.19616923251
MP3017482-W89743,True,851.0,0.4747379748194591,0.981925861744221,0.46746647408796127,128689.19616923251
MP3017482-W89744,True,851.0,0.4747379748194591,0.981925861744221,0.46746647408796127,128689.19616923251
MP3017482-W89745,True,851.0,0.4747379748194591,0.981925861744221,0.46746647408796127,128689.19616923251
MP3017482-W89746,True,851.0,0.4747379748194591,0.981925861744221,0.46746647408796127,128689.19616923251
MP3017482-W89747,True,851.0,0.4747379748194591,0.981925861744221,0.46746647408796127,128689.19616923251
MP3017482-W89748,False,179.0,,1.175866396412648,0.5944153769632506,0.0
MP3019119-W89749,False,796.0,,0.8011051824660116,0.3289987182675569,0.0
MP3018954-W89750,True,851.0,0.26978119579909654,0.4794975403098143,0.11444483767910776,365109.40210045176
MP3018954-W89751,True,851.0,0.26978119579909654,0.4794975403098143,0.11444483767910776,365109.40210045176
MP3018954-W89752,True,851.0,0.19778610880140945,0.33609400741884304,0.05361993763510799,401106.94559929526
MP3018954-W89754,True,851.0,0.20571579624473146,0.3512439087269856,0.06585139555793622,794284.2037552686
MP3019214-W89770,False,345.0,,1.083625674345315,0.5403171809538385,0.0
MP3018403-W89779,True,851.0,0.5965789106505155,1.3844156219498358,0.6950600692518126,121026.32680484535
MP3018954-W89781,True,851.0,0.19729781115026102,0.33516600119769285,0.052835593901249214,802702.188849739
MP3018361-W89789,False,539.0,,2.268908894801692,0.9240812656629618,0.0
MP3018361-W89793,False,742.0,,2.268908894801692,0.9240812656629618,0.0
